,area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk
2777,Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918.0,2.0,2.0,45.0,2.0
2780,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SrisePo,1372.0,2.0,1.0,61.0,2.0
2782,Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1728.0,3.0,2.0,95.0,3.0
2783,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2215.0,3.0,1.0,275.0,3.0
2784,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Crentt ,1200.0,2.0,2.0,80.0,2.0
2789,Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,Nathira,1500.0,3.0,2.0,97.0,3.0
2793,Super built-up  Area,19-Dec,Old Madras Road,2 BHK,SheldGr,1225.0,2.0,1.0,53.55,2.0
2796,Built-up  Area,Ready To Move,Electronic City,3 BHK,Itelaa ,880.0,2.0,1.0,18.0,3.0
2800,Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005.0,2.0,1.0,42.0,2.0
2801,Super built-up  Area,20-Dec,Whitefield,3 BHK,Oreldhi,1562.0,3.0,2.0,103.0,3.0
2802,Built-up  Area,Ready To Move,Devanahalli,4 Bedroom,Soyleif,5000.0,5.0,2.0,395.0,4.0
2807,Super built-up  Area,Ready To Move,Whitefield,2 BHK,BainePr,1190.0,2.0,2.0,67.0,2.0
2814,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Mahosya,1420.0,2.0,1.0,123.0,2.0
2816,Carpet  Area,18-Dec,Hebbal,3 BHK,Arcia S,1069.0,3.0,2.0,65.4,3.0
2817,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PueraRi,1900.0,3.0,3.0,123.0,3.0
2818,Super built-up  Area,18-May,Old Airport Road,2 BHK,Jaades ,1655.0,2.0,1.0,97.65,2.0
2819,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1155.0,2.0,2.0,40.42,2.0
2820,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Esatea ,1300.0,2.0,2.0,70.0,3.0
2821,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Amhidte,1100.0,2.0,2.0,45.0,2.0
2822,Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Arensh ,1030.0,2.0,2.0,42.0,2.0
2823,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,2105.0,2.0,1.0,70.2,2.0
2824,Built-up  Area,Ready To Move,Bhoganhalli,3 BHK,Prsun S,1700.0,3.0,2.0,126.0,3.0
2825,Super built-up  Area,Ready To Move,Jakkur,3 BHK,BrdgeNo,1760.0,3.0,2.0,139.0,3.0
2829,Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Haaceal,912.0,2.0,1.0,55.0,2.0
2832,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243.0,2.0,2.0,46.0,2.0
2833,Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918.0,2.0,2.0,63.2,2.0
2834,Super built-up  Area,Ready To Move,Begur Road,3 BHK,MJilayl,1500.0,2.0,3.0,70.0,3.0
2836,Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1476.0,3.0,0.0,89.0,3.0
2838,Super built-up  Area,21-Jun,Vijayanagar,1 BHK,Saityat,606.0,1.0,0.0,34.78,1.0
2841,Built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,AdingSV,527.0,1.0,0.0,26.0,1.0
2845,Built-up  Area,Ready To Move,Koramangala,2 BHK,Vaanda ,1140.0,2.0,1.0,75.2,2.0
2847,Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2321.0,4.0,1.0,128.0,3.0
2849,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Asncywo,1725.0,3.0,3.0,90.0,3.0
2850,Super built-up  Area,18-May,Hebbal,4 BHK,SNontle,3067.0,4.0,1.0,310.0,4.0
2851,Super built-up  Area,18-Mar,Hennur Road,3 BHK,Koagati,1186.0,2.0,1.0,63.0,3.0
2852,Super built-up  Area,18-Dec,Kanakpura Road,2 BHK,PrityFa,1230.0,2.0,1.0,85.0,2.0
2858,Super built-up  Area,19-Dec,Binny Pete,1 BHK,She 2rk,660.0,1.0,1.0,54.0,1.0
2861,Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Teilsaf,1100.0,2.0,1.0,70.0,2.0
2865,Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,GaicaVe,1015.0,2.0,1.0,56.0,2.0
2871,Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,NDclenn,1274.0,2.0,2.0,70.0,2.0
2872,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1151.0,2.0,2.0,39.02,2.0
2874,Super built-up  Area,Ready To Move,Thubarahalli,3 BHK,ShdhiSa,1626.0,2.0,2.0,120.0,3.0
2880,Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Spensas,1570.0,2.0,2.0,65.0,3.0
2888,Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,DSdorSp,904.0,2.0,1.0,30.0,2.0
2890,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Vasta C,1385.0,2.0,2.0,58.17,3.0
2891,Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,Rauil T,1270.0,2.0,1.0,69.85,2.0
2892,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450.0,3.0,3.0,56.0,3.0
2895,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1580.0,3.0,3.0,53.56,3.0
2896,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Teire G,1111.0,2.0,1.0,50.0,2.0
2898,Super built-up  Area,Ready To Move,Varthur,2 BHK,Maine J,977.0,2.0,2.0,36.0,2.0
2901,Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Puodsm ,2540.0,4.0,1.0,115.0,4.0
2902,Super built-up  Area,17-Dec,Jakkur,2 BHK,BrdgeNo,1290.0,2.0,1.0,100.0,2.0
2904,Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,795.0,2.0,1.0,32.54,2.0
2905,Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,PrarePa,700.0,1.0,1.0,35.0,2.0
2910,Plot  Area,Ready To Move,Bommenahalli,4 Bedroom,Prana S,1670.0,3.0,0.0,135.0,4.0
2912,Plot  Area,Ready To Move,Marsur,3 Bedroom,AreraRe,1200.0,3.0,1.0,90.0,3.0
2914,Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,Prhtsok,2065.0,4.0,1.0,210.0,3.0
2915,Super built-up  Area,Ready To Move,Hoskote,3 BHK,Deiveer,1225.0,3.0,1.0,40.0,3.0
2917,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Trows M,900.0,2.0,2.0,56.0,2.0
2918,Super built-up  Area,19-Dec,Binny Pete,2 BHK,She 2rk,1350.0,2.0,1.0,91.0,2.0
2919,Super built-up  Area,Ready To Move,Kaggalipura,1 BHK,Baowsig,700.0,1.0,0.0,36.0,1.0
2925,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Diaveic,1040.0,2.0,2.0,46.0,2.0
2933,Super built-up  Area,Ready To Move,Doddathoguru,3 BHK,SKterAs,1549.0,3.0,2.0,65.0,3.0
2934,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Goandn ,1400.0,2.0,2.0,100.0,2.0
2935,Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,MavarSa,1080.0,2.0,2.0,50.0,2.0
2938,Super built-up  Area,Ready To Move,Domlur,3 BHK,Saiewas,1800.0,3.0,2.0,150.0,3.0
2939,Super built-up  Area,18-Aug,Haralur Road,2 BHK,SNnia E,1225.0,2.0,1.0,67.38,2.0
2941,Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,1005.0,2.0,1.0,39.59,2.0
2942,Super built-up  Area,Ready To Move,Whitefield,2 BHK,BrlisCo,1320.0,2.0,1.0,95.0,2.0
2948,Super built-up  Area,18-Aug,Electronic City,2 BHK,Prarkun,1128.0,2.0,1.0,65.35,2.0
2949,Super built-up  Area,22-May,Jakkur,2 BHK,SoineC ,1452.19,2.0,1.0,100.0,2.0
2951,Super built-up  Area,18-Jul,Banashankari,3 BHK,Rallse ,2600.0,4.0,1.0,135.0,3.0
2957,Built-up  Area,Ready To Move,Whitefield,2 BHK,JahanSa,735.0,2.0,1.0,35.0,2.0
2959,Super built-up  Area,Ready To Move,Rajaji Nagar,5 BHK,Pumesim,2849.0,5.0,0.0,300.0,5.0
2960,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Mahosya,1420.0,2.0,1.0,99.39,2.0
2962,Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,850.0,1.0,1.0,32.0,2.0
2963,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1575.0,2.0,2.0,110.0,3.0
2964,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418.0,2.0,2.0,104.0,2.0
2966,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,GSideS ,1065.0,2.0,1.0,42.6,2.0
2969,Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1160.0,2.0,1.0,33.5,2.0
2970,Super built-up  Area,Ready To Move,Kudlu,2 BHK,Srrnasa,1092.0,2.0,2.0,44.0,2.0
2971,Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194.0,2.0,2.0,47.0,2.0
2972,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Apows M,1455.0,3.0,1.0,61.5,3.0
2973,Super built-up  Area,18-Jun,Abbigere,1 BHK,DSestma,734.0,1.0,0.0,19.82,1.0
2976,Super built-up  Area,Ready To Move,Ardendale,2 BHK,Miwel M,1100.0,2.0,1.0,48.0,2.0
2979,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128.0,2.0,1.0,65.0,2.0
2983,Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,MBodsen,1098.0,2.0,1.0,43.91,2.0
2988,Super built-up  Area,Ready To Move,Varthur,2 BHK,Hirio L,1091.0,2.0,1.0,32.0,2.0
2989,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Inurave,1180.0,2.0,3.0,42.0,2.0
2990,Super built-up  Area,19-Dec,Kanakpura Road,2 BHK,PrityFa,1366.0,3.0,1.0,76.85,2.0
2992,Built-up  Area,Ready To Move,Koramangala,2 BHK,Gencysi,1260.0,2.0,3.0,100.0,2.0
2993,Plot  Area,Ready To Move,Whitefield,3 Bedroom,Chpana ,3010.0,3.0,2.0,200.0,3.0
2996,Super built-up  Area,18-Apr,Whitefield,2 BHK,Prtates,1346.0,2.0,1.0,96.17,2.0
2997,Super built-up  Area,18-Aug,Chandapura,1 BHK,Dhowsyo,630.0,1.0,0.0,13.86,1.0
2999,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850.0,3.0,2.0,140.0,3.0
3001,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,755.0,1.0,1.0,34.0,2.0
3003,Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,Peide L,1194.0,2.0,2.0,46.0,2.0
3005,Super built-up  Area,18-Jul,Hebbal,4 BHK,Cehosy ,4235.0,4.0,2.0,365.0,4.0
3007,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250.0,3.0,1.0,195.0,3.0
3008,Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,Rancy R,1352.0,2.0,2.0,68.0,2.0
3009,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2002.0,3.0,2.0,112.0,3.0
3012,Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SoapeSu,1419.59,2.0,1.0,59.0,3.0
3013,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1196.0,2.0,2.0,51.15,2.0
3015,Super built-up  Area,18-Apr,Electronics City Phase 1,3 BHK,Shitt S,1595.0,3.0,2.0,75.0,3.0
3016,Super built-up  Area,Ready To Move,Banashankari,2 BHK,Goeesem,1260.0,2.0,3.0,75.0,2.0
3018,Super built-up  Area,Ready To Move,Frazer Town,2 BHK,Asneren,1550.0,2.0,2.0,140.0,2.0
3020,Plot  Area,18-Dec,Electronic City,4 Bedroom,Janaala,4000.0,5.0,1.0,150.0,4.0
3021,Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662.0,3.0,2.0,85.0,3.0
3024,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1862.0,3.0,2.0,119.0,3.0
3025,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419.0,2.0,2.0,48.0,2.0
3027,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,PrrvaPl,1560.0,2.0,2.0,62.4,3.0
3029,Super built-up  Area,19-Nov,Thanisandra,3 BHK,Bhe 2ko,1634.0,3.0,3.0,78.0,3.0
3030,Plot  Area,Ready To Move,Ambedkar Nagar,5 Bedroom,Thessrm,5530.0,5.0,3.0,627.0,5.0
3034,Super built-up  Area,17-Dec,Nagavarapalya,2 BHK,PuonsSe,1392.0,2.0,1.0,99.0,2.0
3035,Super built-up  Area,19-Dec,Jakkur,3 BHK,Ceezey ,1798.0,3.0,1.0,120.0,3.0
3040,Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1700.0,3.0,2.0,124.0,3.0
3041,Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Vandak ,1248.0,2.0,1.0,69.0,2.0
3044,Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Rancy R,1527.0,3.0,2.0,115.0,3.0
3046,Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525.0,1.0,1.0,25.0,1.0
3047,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,RohtsHe,1100.0,2.0,3.0,58.0,2.0
3052,Super built-up  Area,Ready To Move,Ambalipura,2 BHK,Dimes E,1332.0,2.0,1.0,79.0,2.0
3055,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243.0,2.0,2.0,46.0,2.0
3058,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,TRensre,1200.0,2.0,2.0,50.0,2.0
3059,Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,ViistLa,1251.0,2.0,1.0,47.4,2.0
3060,Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883.0,2.0,1.0,45.0,2.0
3062,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1800.0,3.0,3.0,260.0,3.0
3063,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Soiniy ,1703.0,3.0,2.0,113.0,3.0
3066,Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsen,933.0,2.0,2.0,43.0,2.0
3068,Super built-up  Area,Ready To Move,Brookefield,2 BHK,Mapleer,1262.0,2.0,1.0,75.0,2.0
3069,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,915.0,2.0,2.0,48.0,2.0
3070,Super built-up  Area,Ready To Move,Panathur,3 BHK,Saite G,1370.0,2.0,2.0,61.5,3.0
3072,Super built-up  Area,Ready To Move,Kodihalli,3 BHK,Soianal,2392.0,4.0,2.0,260.0,3.0
3078,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MNlam G,1445.0,2.0,3.0,40.31,3.0
3079,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Evood S,1300.0,2.0,1.0,55.0,3.0
3081,Super built-up  Area,Ready To Move,Jakkur,2 BHK,HRaniIb,1300.0,2.0,1.0,85.0,2.0
3082,Super built-up  Area,18-Jul,Chandapura,3 BHK,SunceEs,1185.0,2.0,2.0,30.22,3.0
3091,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Maity W,1385.0,2.0,1.0,83.09,2.0
3093,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1149.0,2.0,1.0,75.0,2.0
3094,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2180.0,3.0,2.0,170.0,3.0
3098,Super built-up  Area,Ready To Move,Hulimavu,3 BHK,NiarkHy,1818.0,3.0,1.0,135.0,3.0
3100,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640.0,3.0,2.0,241.0,3.0
3101,Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1350.0,2.0,2.0,54.6,3.0
3103,Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1430.0,2.0,2.0,113.0,2.0
3106,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Clell D,1084.0,2.0,3.0,55.0,2.0
3107,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Koagati,1186.0,2.0,1.0,56.0,3.0
3108,Built-up  Area,Ready To Move,Kengeri,2 BHK,Vaens G,1255.0,2.0,2.0,50.0,2.0
3109,Super built-up  Area,Ready To Move,Haralur Road,4 BHK,SoronSa,3400.0,5.0,3.0,240.0,4.0
3110,Super built-up  Area,18-Dec,Hosa Road,3 BHK,Mahesr ,1541.0,3.0,1.0,69.84,3.0
3111,Super built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3596.0,5.0,1.0,282.0,4.0
3112,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,NaonySy,1295.0,2.0,2.0,70.0,2.0
3115,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,SrncyRe,1370.0,2.0,2.0,54.79,3.0
3116,Super built-up  Area,Ready To Move,Electronic City,2 BHK,DSgmax ,1100.0,2.0,1.0,40.0,2.0
3117,Super built-up  Area,18-Apr,Hebbal,4 BHK,Emceske,4772.0,6.0,2.0,510.0,4.0
3118,Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,Brway G,1370.0,2.0,1.0,170.0,2.0
3120,Super built-up  Area,Ready To Move,JP Nagar,2 BHK,DSillto,1200.0,2.0,2.0,62.0,2.0
3127,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,ManceEl,1178.0,2.0,3.0,73.0,2.0
3128,Super built-up  Area,Ready To Move,Dasanapura,3 BHK,Tavenew,1286.0,3.0,2.0,61.44,3.0
3129,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160.0,2.0,2.0,42.0,2.0
3130,Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918.0,2.0,2.0,55.0,2.0
3131,Super built-up  Area,21-Dec,Electronic City,3 BHK,KonteiT,1563.0,3.0,2.0,91.84,3.0
3134,Super built-up  Area,17-Dec,Hebbal,4 BHK,Cehosy ,3960.0,5.0,3.0,386.0,4.0
3136,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,JaaldEm,1325.0,2.0,2.0,50.0,2.0
3137,Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Whosone,1100.0,2.0,1.0,44.0,2.0
3139,Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,Mauner ,1605.0,3.0,2.0,50.0,3.0
3141,Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Srhts P,1260.0,2.0,1.0,60.0,2.0
3142,Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1553.0,3.0,2.0,83.09,3.0
3143,Super built-up  Area,Ready To Move,Whitefield,2 BHK,BMttaor,1280.0,2.0,2.0,52.0,2.0
3144,Super built-up  Area,Ready To Move,Hebbal,3 BHK,Arade A,1550.0,2.0,2.0,75.0,3.0
3147,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1515.0,2.0,1.0,80.91,3.0
3148,Super built-up  Area,19-Mar,Hosa Road,3 BHK,Skume R,1332.0,2.0,1.0,86.12,3.0
3149,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Briumri,1652.0,3.0,2.0,70.0,3.0
3150,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1570.0,3.0,1.0,105.0,3.0
3151,Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,Adeatlm,5400.0,4.0,3.0,725.0,4.0
3154,Built-up  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,RBRWAyo,3600.0,3.0,2.0,410.0,4.0
3159,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SocusHi,1750.0,3.0,2.0,110.0,3.0
3161,Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,PrarePa,1100.0,3.0,2.0,53.0,3.0
3165,Built-up  Area,Ready To Move,Bommasandra,3 BHK,KBaleoy,1447.0,3.0,2.0,80.0,3.0
3166,Built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1012.0,2.0,1.0,75.0,2.0
3173,Super built-up  Area,18-Aug,Gunjur,2 BHK,BMineis,1140.0,2.0,2.0,49.11,2.0
3176,Super built-up  Area,Ready To Move,Kanakapura,3 BHK,SPavenc,1290.0,3.0,3.0,45.15,3.0
3177,Super built-up  Area,Ready To Move,Ambedkar Nagar,2 BHK,SoechHa,1424.0,2.0,2.0,90.0,2.0
3179,Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662.0,3.0,2.0,85.5,3.0
3181,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200.0,2.0,2.0,45.0,2.0
3184,Super built-up  Area,Ready To Move,Battarahalli,3 BHK,PaontWa,1777.0,3.0,2.0,100.0,3.0
3186,Super built-up  Area,17-Jul,Anandapura,3 BHK,ViensRK,1576.0,3.0,2.0,59.1,3.0
3189,Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,1 BHK,Prllsan,648.0,1.0,1.0,31.75,1.0
3190,Super built-up  Area,Ready To Move,Neeladri Nagar,3 BHK,AdingSV,1167.0,2.0,1.0,38.0,3.0
3205,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,NRodsen,2721.0,3.0,2.0,113.0,3.0
3206,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,2000.0,3.0,2.0,99.0,3.0
3207,Super built-up  Area,Ready To Move,Whitefield,4 BHK,Sanne E,2500.0,4.0,3.0,155.0,4.0
3209,Super built-up  Area,18-Apr,Kadugodi,2 BHK,Alestrb,1314.0,2.0,3.0,68.2,2.0
3216,Super built-up  Area,18-Dec,Hebbal,2 BHK,Mahosya,1420.0,2.0,1.0,99.39,2.0
3217,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ceiti I,1888.0,4.0,1.0,95.0,3.0
3218,Super built-up  Area,18-May,JP Nagar,2 BHK,Shestut,1300.0,2.0,1.0,90.87,2.0
3219,Super built-up  Area,18-May,Rajaji Nagar,2 BHK,Pumesim,1216.0,2.0,0.0,97.16,2.0
3222,Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1290.0,2.0,1.0,87.0,2.0
3227,Built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1900.0,2.0,1.0,200.0,2.0
3229,Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJinele,1300.0,3.0,2.0,60.0,3.0
3230,Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1115.0,2.0,1.0,33.45,2.0
3231,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2409.0,3.0,2.0,360.0,3.0
3232,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,2150.0,4.0,2.0,125.0,3.0
3233,Super built-up  Area,19-Mar,Marathahalli,3 BHK,Unezes ,1305.0,2.0,1.0,69.0,3.0
3234,Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,GolusLi,1252.0,2.0,1.0,56.32,2.0
3238,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Assha A,545.0,1.0,1.0,35.0,2.0
3240,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Chllsev,1313.0,2.0,2.0,66.5,2.0
3245,Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1255.0,2.0,2.0,79.0,3.0
3248,Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,Cerasy ,1700.0,3.0,2.0,90.0,3.0
3249,Carpet  Area,Ready To Move,Indira Nagar,3 BHK,Gonorir,1875.0,3.0,1.0,180.0,3.0
3250,Carpet  Area,Ready To Move,Uttarahalli,3 BHK,Baveles,1700.0,3.0,2.0,88.0,3.0
3251,Super built-up  Area,Ready To Move,Harlur,3 BHK,Prncyrn,1749.0,3.0,2.0,115.0,3.0
3256,Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,1610.0,2.0,2.0,115.0,3.0
3257,Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070.0,2.0,1.0,46.0,2.0
3260,Built-up  Area,Ready To Move,Indira Nagar,2 BHK,VKvenas,1210.0,2.0,1.0,102.0,2.0
3262,Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,4190.0,4.0,3.0,380.0,4.0
3264,Super built-up  Area,Ready To Move,Whitefield,4 BHK,ArsiaEx,2268.0,3.0,0.0,146.0,4.0
3267,Built-up  Area,Ready To Move,Magadi Road,2 BHK,DSellil,1345.0,2.0,2.0,55.0,2.0
3269,Built-up  Area,Ready To Move,Kengeri,2 BHK,VBvenal,750.0,2.0,1.0,36.0,2.0
3271,Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,ARvasV ,1247.0,2.0,1.0,59.8,2.0
3273,Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950.0,2.0,1.0,48.0,2.0
3276,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1520.0,2.0,1.0,103.0,3.0
3279,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,2350.0,3.0,2.0,174.0,3.0
3287,Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,920.0,2.0,1.0,37.46,2.0
3288,Plot  Area,18-Feb,Sarjapur  Road,3 Bedroom,Cetattu,1200.0,3.0,2.0,70.0,3.0
3292,Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1140.0,2.0,2.0,46.0,2.0
3294,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NRowse ,1464.0,2.0,2.0,56.0,2.0
3296,Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1555.0,2.0,1.0,82.0,3.0
3298,Built-up  Area,Ready To Move,Whitefield,2 BHK,SNadeAr,1150.0,2.0,0.0,55.0,2.0
3303,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Palleon,1350.0,3.0,2.0,58.0,3.0
3307,Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Suntsan,1495.0,2.0,2.0,75.0,3.0
3308,Built-up  Area,Ready To Move,Indira Nagar,2 BHK,Riousd ,1224.0,2.0,2.0,105.0,2.0
3310,Built-up  Area,Ready To Move,Green Glen Layout,2 BHK,Mazzo P,940.0,2.0,1.0,56.8,2.0
3311,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,DwntsAp,1100.0,2.0,1.0,55.0,2.0
3315,Plot  Area,17-Jun,Sarjapur  Road,3 Bedroom,AztheBr,2600.0,3.0,2.0,200.0,3.0
3316,Super built-up  Area,21-Mar,Yelahanka,3 BHK,Goues A,1517.0,3.0,2.0,76.3,3.0
